fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;Id
7.3;0.74;0.08;1.7;0.094;10.0;45.0;0.99576;3.24;0.5;9.8;5;1366
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5;103
10.1;0.43;0.4;2.6;0.092;13.0;52.0;0.99834;3.22;0.64;10.0;7;942
12.9;0.5;0.55;2.8;0.072;7.0;24.0;100.012;3.09;0.68;10.9;6;811
8.4;0.36;0.32;2.2;0.081;32.0;79.0;0.9964;3.3;0.72;11.0;6;918
9.6;0.6;0.5;2.3;0.079;28.0;71.0;0.9997;3.5;0.57;9.7;5;616
8.5;0.32;0.42;2.3;0.075;12.0;19.0;0.99434;3.14;0.71;11.8;7;1162
6.9;0.49;0.19;1.7;0.079;13.0;26.0;0.99547;3.38;0.64;9.8;6;1041
6.0;0.51;0.0;2.1;0.064;40.0;54.0;0.995;3.54;0.93;10.7;6;1407
8.1;0.825;0.24;2.1;0.084;5.0;13.0;0.9972;3.37;0.77;10.7;6;537
8.5;0.18;0.51;1.75;0.071;45.0;88.0;0.99524;3.33;0.76;11.8;7;1156
7.9;0.72;0.01;1.9;0.076;7.0;32.0;0.99668;3.39;0.54;9.6;5;769
9.3;0.5;0.36;1.8;0.084;6.0;17.0;0.99704;3.27;0.77;10.8;6;1049
7.6;0.4;0.29;1.9;0.078;29.0;66.0;0.9971;3.45;0.59;9.5;6;932
6.6;0.63;0.0;4.3;0.093;51.0;77.5;0.99558;3.2;0.45;9.5;5;1296
13.0;0.32;0.65;2.6;0.093;15.0;47.0;0.9996;3.05;0.61;10.6;5;470
7.7;0.26;0.26;2.0;0.052;19.0;77.0;0.9951;3.15;0.79;10.9;6;1198
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;87
9.1;0.765;0.04;1.6;0.078;4.0;14.0;0.998;3.29;0.54;9.7;4;704
7.9;1.04;0.05;2.2;0.084;13.0;29.0;0.9959;3.22;0.55;9.9;6;134
